iter	Passed	Remaining
400	23767	5867
401	23821	5807
402	23920	5757
403	23977	5697
404	24040	5639
405	24119	5584
406	24189	5527
407	24288	5476
408	24357	5419
409	24402	5356
410	24477	5300
411	24531	5239
412	24594	5180
413	24661	5122
414	24717	5062
415	24797	5007
416	24859	4948
417	24928	4890
418	24987	4830
419	25049	4771
420	25110	4712
421	25167	4651
422	25224	4591
423	25278	4531
424	25342	4472
425	25394	4411
426	25469	4354
427	25536	4295
428	25594	4235
429	25670	4178
430	25729	4119
431	25786	4058
432	25853	4000
433	25906	3939
434	25964	3879
435	26026	3820
436	26083	3760
437	26135	3699
438	26186	3638
439	26248	3579
440	26337	3523
441	26402	3464
442	26456	3404
443	26512	3343
444	26577	3284
445	26632	3224
446	26702	3166
447	26769	3107
448	26810	3045
449	26865	2985
450	26927	2925
451	26988	2866
452	27040	2805
453	27100	2745
454	27156	2685
455	27222	2626
456	27275	2566
457	27332	2506
458	27381	2445
459	27446	2386
460	27544	2330
461	27636	2273
462	27720	2215
463	27785	2155
464	27856	2096
465	27922	2037
466	27990	1977
467	28035	1916
468	28103	1857
469	28161	1797
470	28215	1737
471	28270	1677
472	28333	1617
473	28414	1558
474	28486	1499
475	28553	1439
476	28631	1380
477	28694	1320
478	28762	1260
479	28833	1201
480	28895	1141
481	28961	1081
482	29022	1021
483	29078	961
484	29122	900
485	29183	840
486	29243	780
487	29302	720
488	29354	660
489	29424	600
490	29480	540
491	29538	480
492	29621	420
493	29694	360
494	29787	300
495	29850	240
496	29912	180
497	29977	120
498	30049	60
499	30113	0
