iter	RMSE
175	218.8616224
176	218.8262055
177	218.7882867
178	218.7707528
179	218.7213755
180	218.6889848
181	218.6568083
182	218.5942369
183	218.5203695
184	218.4869968
185	218.4545631
186	218.4313895
187	218.3790523
188	218.363233
189	218.341219
190	218.284114
191	218.2524203
192	218.2275465
193	218.2105494
194	218.1692394
195	218.1340336
196	218.0990181
197	218.0677746
198	218.0497751
199	218.0132985
200	217.9873165
201	217.9687984
202	217.9601368
203	217.9059839
204	217.8303457
205	217.8099572
206	217.7710494
207	217.7573826
208	217.728623
209	217.700442
210	217.6806514
211	217.6296455
212	217.6218196
213	217.5882192
214	217.5535388
215	217.5143389
216	217.4913689
217	217.4392188
218	217.3861838
219	217.3553656
220	217.3424092
221	217.3142848
222	217.2846648
223	217.2135898
224	217.1698287
225	217.1617636
226	217.1374564
227	217.0893066
228	217.0734551
229	217.0288044
230	217.0027968
231	216.9467375
232	216.9225952
233	216.8765634
234	216.8409345
235	216.8109832
236	216.7591082
237	216.7301258
238	216.6870918
239	216.666327
240	216.6373023
241	216.6179893
242	216.5850832
243	216.5752998
244	216.5415612
245	216.4863127
246	216.4644132
247	216.4431934
248	216.3898765
249	216.3752137
250	216.3484387
251	216.3334005
252	216.3224593
253	216.2997796
254	216.2794349
255	216.2365151
256	216.2163295
257	216.1686556
258	216.1368637
259	216.0727337
260	216.0583657
261	216.0126745
262	216.0046306
263	215.9641442
264	215.9379304
265	215.9146646
266	215.8615942
267	215.8249295
268	215.7942314
269	215.7718009
270	215.7270009
271	215.7018008
272	215.6783454
273	215.660287
274	215.6234641
275	215.6076916
276	215.572541
277	215.5306476
278	215.5165597
279	215.4960041
280	215.485233
281	215.4434291
282	215.401663
283	215.3801253
284	215.3497911
285	215.3451906
286	215.3245366
287	215.2673998
288	215.2384417
289	215.2054987
290	215.1745591
291	215.1420233
292	215.114133
293	215.0911651
294	215.0420196
295	215.0109321
296	214.9617765
297	214.9461655
298	214.9221878
299	214.893762
300	214.8832598
301	214.8463076
302	214.8097418
303	214.7856423
304	214.784596
305	214.7728019
306	214.7726941
307	214.7666023
308	214.717276
309	214.6884306
310	214.5971242
311	214.5362487
312	214.5055597
313	214.4964228
314	214.41118
315	214.3816803
316	214.3580219
317	214.3388029
318	214.3262077
319	214.306163
320	214.287878
321	214.2764108
322	214.2446201
323	214.1980397
324	214.1512428
325	214.1068779
326	214.0904393
327	214.0750005
328	214.0471124
329	214.0363289
330	214.0341868
331	214.0337751
332	214.032205
333	213.9978403
334	213.9896884
335	213.9846334
336	213.9783615
337	213.9569544
338	213.9226836
339	213.9079198
340	213.8833863
341	213.8749141
342	213.874145
343	213.8733392
344	213.8424228
345	213.8195057
346	213.80246
347	213.7837081
348	213.7719296
349	213.7533161
350	213.727882
351	213.7106328
352	213.6758486
353	213.6567236
354	213.6538908
355	213.6204479
356	213.6174785
357	213.5948584
358	213.5945742
359	213.5564312
360	213.5319097
361	213.5226998
362	213.5216302
363	213.4986461
364	213.4701666
365	213.4597822
366	213.4593272
367	213.4591444
368	213.4338804
369	213.4274874
370	213.4096357
371	213.3845064
372	213.3577318
373	213.3456604
374	213.2984975
375	213.2921906
376	213.2739091
377	213.2734132
378	213.2609679
379	213.2440905
380	213.1908366
381	213.1741613
382	213.1437689
383	213.1029166
384	213.0695298
385	213.0354929
386	213.0211786
387	213.0033657
388	212.9892493
389	212.9812351
390	212.9592239
391	212.9336138
392	212.9120973
393	212.8605336
394	212.8516096
395	212.8507764
396	212.8253971
397	212.7927572
398	212.7891199
399	212.7627526
400	212.7531089
401	212.7371842
402	212.7207144
403	212.7041027
404	212.6736707
405	212.6701291
406	212.6510775
407	212.6502897
408	212.6439567
409	212.6196525
410	212.5795978
411	212.555188
412	212.5486777
413	212.516379
414	212.514744
415	212.4868833
416	212.4678886
417	212.4430514
418	212.4149203
419	212.3936262
420	212.3663186
421	212.3503845
422	212.3404489
423	212.3168992
424	212.3029411
425	212.2945251
426	212.2756517
427	212.26434
428	212.2498764
429	212.2279859
430	212.2206671
431	212.1945735
432	212.1183221
433	212.0851567
434	212.0845338
435	212.0421394
436	212.035158
437	212.0156088
438	212.0141738
439	211.9800008
440	211.9459094
441	211.9325199
442	211.9222737
443	211.8984062
444	211.8981311
445	211.8867073
446	211.8698101
447	211.8344205
448	211.8293593
449	211.8172449
450	211.8048256
451	211.7878713
452	211.7873049
453	211.7773038
454	211.759186
455	211.7570727
456	211.7505381
457	211.7500777
458	211.7165528
459	211.7001116
460	211.6880918
461	211.6807057
462	211.663482
463	211.6523587
464	211.6241601
465	211.621881
466	211.6188907
467	211.6112992
468	211.6082416
469	211.5981098
470	211.5766871
471	211.5633242
472	211.5617663
473	211.5513431
474	211.5215918
475	211.4595517
476	211.4306639
477	211.4292801
478	211.3987912
479	211.3864577
480	211.3544306
481	211.3422323
482	211.3390683
483	211.3365361
484	211.3102216
485	211.2909337
486	211.2832008
487	211.2821423
488	211.2575812
489	211.2548412
490	211.2472767
491	211.2373771
492	211.2246898
493	211.216181
494	211.1940919
495	211.1703791
496	211.1697602
497	211.1592377
498	211.1254357
499	211.1072684
